City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
440,Botucatu,BR,-22.8858,-48.445,58.51,73,36,5.08,scattered clouds
441,Rawlins,US,41.7911,-107.2387,26.49,86,100,17.27,overcast clouds
442,Guerrero Negro,MX,27.9769,-114.0611,65.16,68,100,17.63,overcast clouds
443,Emet,TR,39.343,29.2585,36.18,50,0,3.69,clear sky
444,Staraya Toropa,RU,56.2801,31.6702,45.01,91,100,8.84,overcast clouds
445,Nhamunda,BR,-2.1861,-56.7131,77.5,82,47,2.51,scattered clouds
446,Birakan,RU,49.0167,131.7,28.47,42,0,11.88,clear sky
447,Axim,GH,4.8699,-2.2405,77.9,85,82,7.49,broken clouds
448,Djibo,BF,14.1022,-1.6306,75.43,15,17,8.25,few clouds
449,Bitung,ID,1.4451,125.1824,86.85,68,100,3.18,overcast clouds
450,Ossora,RU,59.2353,163.0719,20.84,82,97,3.87,overcast clouds
451,Taoudenni,ML,22.6783,-3.9836,72.23,13,0,10.49,clear sky
452,Gualaquiza,EC,-3.4,-78.55,62.1,98,74,1.45,light rain
453,Mandalgovi,MN,45.7625,106.2708,39.27,37,92,8.34,overcast clouds
454,Ekhabi,RU,53.5102,142.9671,26.46,67,100,24.79,overcast clouds
455,Nadvoitsy,RU,63.8667,34.3167,32.52,89,99,5.53,overcast clouds
456,Wad Madani,SD,14.4012,33.5199,71.55,27,7,9.69,clear sky
457,Tres Arroyos,AR,-38.3739,-60.2798,62.8,34,35,13.53,scattered clouds
458,Puerto Madryn,AR,-42.7692,-65.0385,67.3,62,100,16.73,overcast clouds
459,Mogadishu,SO,2.0371,45.3438,78.28,85,82,10.38,broken clouds
460,Klaksvik,FO,62.2266,-6.589,49.12,92,97,21.21,light rain
461,Ivanovka,KG,42.8878,75.085,36.5,54,13,2.82,few clouds
462,Toora-Khem,RU,52.4675,96.11,22.59,64,100,6.53,overcast clouds
463,Shagonar,RU,51.5333,92.8,25.34,81,71,4.47,broken clouds
464,Predivinsk,RU,57.0669,93.4378,26.92,82,100,9.66,overcast clouds
