City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
314,Gamba,GA,75.9,moderate rain,-2.65,10.0,
315,Gat,IL,60.4,clear sky,31.61,34.7642,OlusHome
316,Port Hawkesbury,CA,40.59,few clouds,45.6169,-61.3485,MacKenzie House Tourist Home B&B
320,Banda Aceh,ID,82.83,light rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
321,Mecca,SA,74.75,few clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
322,Trinidad,BO,80.08,broken clouds,-14.8333,-64.9,Hotel Piesta
323,Wuning,CN,78.04,clear sky,29.2589,120.2311,Fu Du Hotel
325,Sturgis,US,62.4,clear sky,41.7992,-85.4192,Best Western Plus Howe Inn
328,Cap Malheureux,MU,76.46,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
329,Teguise,ES,64.62,clear sky,29.0605,-13.564,B&B La Casona de Nazaret
330,Russell,US,61.92,clear sky,32.3502,-85.1999,Macs
334,Ko Samui,TH,87.71,few clouds,9.5357,99.9357,The Passage
335,Nederland,US,71.58,clear sky,29.9744,-93.9924,"Holiday Inn Express & Suites Port Arthur Central-Mall Area, an IHG Hotel"
336,Freeport,US,52.97,few clouds,40.6576,-73.5832,The Freeport Inn and Marina
339,Vangaindrano,MG,71.62,few clouds,-23.35,47.6,Hotel Fanilo
340,Awjilah,LY,60.75,clear sky,29.1081,21.2869,
342,Tanout,NE,71.46,few clouds,14.9709,8.8879,
343,Langsa,ID,84.07,moderate rain,4.4683,97.9683,OYO 3328 Hotel Mori
344,Paris,FR,49.1,fog,48.8534,2.3488,Britannique Hotel - Paris Centre
345,Port Keats,AU,92.25,broken clouds,-14.25,129.55,Kardu Durrikardu Numida Hostel
346,San Quintin,MX,60.75,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
347,Yulara,AU,91.24,few clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
348,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,Taloa Heights
349,Lima,PE,61.9,clear sky,-12.0432,-77.0282,Hotel Kamana
350,Aliwal North,ZA,55.35,overcast clouds,-30.6937,26.7114,Queens Terrace B&B
351,Anloga,GH,81.03,overcast clouds,5.7947,0.8973,Pin Drop Hotel
